cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HTLV1	740
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HTLV1	729
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HTLV1	630
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HTLV1	571
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HIV2	0
